-31667, -52902, 3, 5,
21400, -31662, -2, 3,
-10471, -31665, 1, 3,
21416, -21042, -2, 2,
21383, 53291, -2, -5,
53242, -42275, -5, 4,
32050, 21438, -3, -2,
-31699, 53293, 3, -5,
-21045, 42670, 2, -4,
-31671, 32055, 3, -3,
10781, 53290, -1, -5,
-10432, -10423, 1, 1,
53266, -10418, -5, 1,
42647, 10820, -4, -1,
32039, 10813, -3, -1,
53257, -42278, -5, 4,
-10422, 10815, 1, -1,
21394, -52903, -2, 5,
42621, -21045, -4, 2,
-10425, -31665, 1, 3,
10804, -31657, -1, 3,
32010, -10423, -3, 1,
-21061, 53291, 2, -5,
-10474, 10817, 1, -1,
-52946, -42284, 5, 4,
10801, -31658, -1, 3,
53245, 32054, -5, -3,
21436, -10427, -2, 1,
-21077, -31656, 2, 3,
-42299, -10425, 4, 1,
-52942, -21042, 5, 2,
-21092, -10418, 2, 1,
-31688, 42676, 3, -4,
32039, 42669, -3, -4,
-42330, -52903, 4, 5,
-21073, 21433, 2, -2,
-31676, -52894, 3, 5,
-31684, -10420, 3, 1,
-21061, -31663, 2, 3,
-31707, -31662, 3, 3,
-21085, -21044, 2, 2,
-42328, -42275, 4, 4,
-31694, 32054, 3, -3,
-31672, 21438, 3, -2,
-10426, 32053, 1, -3,
-42323, 53293, 4, -5,
21383, -31658, -2, 3,
53251, 42673, -5, -4,
-31707, -52902, 3, 5,
53275, 42672, -5, -4,
10772, 53291, -1, -5,
21375, -21039, -2, 2,
32019, 10813, -3, -1,
-21064, -52903, 2, 5,
10756, 32054, -1, -3,
21396, 53288, -2, -5,
42642, -10427, -4, 1,
-42283, 32057, 4, -3,
21391, 53290, -2, -5,
-21059, -10427, 2, 1,
-31704, -21038, 3, 2,
-10446, 42670, 1, -4,
-31715, -52897, 3, 5,
-52958, 21436, 5, -2,
32030, -10426, -3, 1,
-42283, -52896, 4, 5,
-10424, -21046, 1, 2,
53281, -42282, -5, 4,
-31696, -21045, 3, 2,
10777, -10418, -1, 1,
42618, 53292, -4, -5,
42656, -21037, -4, 2,
10812, -52903, -1, 5,
-42299, -52897, 4, 5,
53288, -10423, -5, 1,
-10426, 21435, 1, -2,
